# #time(s) u(V)
0.000000000000000000e+00 0.000000000000000000e+00
2.512562814070351809e-05 2.655310254877065734e-01
5.025125628140703619e-05 5.000306314113751593e-01
7.537688442211055767e-05 7.952804826146419037e-01
1.005025125628140724e-04 1.042158814086972640e+00
1.256281407035176006e-04 1.252868113925058813e+00
1.507537688442211153e-04 1.522742463924894540e+00
1.758793969849246300e-04 1.613707683849928243e+00
2.010050251256281448e-04 1.848407370227475255e+00
2.261306532663316595e-04 2.200261403130792992e+00
2.512562814070352013e-04 2.375081580520759239e+00
2.763819095477386889e-04 2.625932695881583179e+00
3.015075376884422307e-04 2.781317018673137742e+00
3.266331658291457183e-04 2.869372324557992293e+00
3.517587939698492601e-04 3.170842186355718795e+00
3.768844221105527477e-04 3.171246388602999566e+00
4.020100502512562895e-04 3.385643364581707893e+00
4.271356783919598313e-04 3.665811954448114030e+00
4.522613065326633189e-04 3.917200386220085928e+00
4.773869346733668607e-04 3.961166860404283785e+00
5.025125628140704025e-04 4.135909383685396179e+00
5.276381909547738901e-04 4.288141014409046825e+00
5.527638190954773777e-04 4.331166122742313718e+00
5.778894472361808653e-04 4.808106097522046873e+00
6.030150753768844614e-04 4.813254278614771842e+00
6.281407035175879490e-04 4.894481207485485541e+00
6.532663316582914366e-04 5.130267393211116911e+00
6.783919597989950326e-04 5.027775651681878344e+00
7.035175879396985202e-04 5.304055077221022430e+00
7.286432160804020078e-04 5.531444115207270862e+00
7.537688442211054954e-04 5.716382134579102825e+00
7.788944723618090914e-04 5.498660126710347207e+00
8.040201005025125790e-04 6.037741722567522729e+00
8.291457286432160666e-04 5.902431775715593965e+00
8.542713567839196626e-04 6.220094454127511163e+00
8.793969849246231502e-04 6.054403854547751429e+00
9.045226130653266378e-04 6.489115679287866811e+00
9.296482412060301254e-04 6.342668869030125833e+00
9.547738693467337215e-04 6.396091709115519386e+00
9.798994974874371006e-04 6.482333433653176158e+00
1.005025125628140805e-03 6.491045895285131984e+00
1.030150753768844293e-03 6.515666646932314343e+00
1.055276381909547780e-03 6.628200821207684612e+00
1.080402010050251268e-03 6.695729044052532331e+00
1.105527638190954755e-03 6.720959206323760426e+00
1.130653266331658243e-03 7.125725486577196399e+00
1.155778894472361731e-03 6.892825753884514128e+00
1.180904522613065435e-03 7.016817537676283578e+00
1.206030150753768923e-03 7.706425345780607117e+00
1.231155778894472410e-03 7.614949950771196185e+00
1.256281407035175898e-03 7.420486914526375877e+00
1.281407035175879386e-03 7.429740692461304086e+00
1.306532663316582873e-03 7.480150070375088944e+00
1.331658291457286361e-03 7.930271593723736245e+00
1.356783919597990065e-03 7.699275272520835323e+00
1.381909547738693553e-03 7.885861072334183319e+00
1.407035175879397040e-03 8.225111440910414018e+00
1.432160804020100528e-03 7.828164981567976355e+00
1.457286432160804016e-03 8.072943589723598379e+00
1.482412060301507503e-03 8.216491493084062014e+00
1.507537688442210991e-03 8.229388342588729088e+00
1.532663316582914695e-03 7.941185846844040164e+00
1.557788944723618183e-03 7.958910878383019138e+00
1.582914572864321670e-03 8.629198824735116347e+00
1.608040201005025158e-03 8.382877687813699907e+00
1.633165829145728646e-03 8.100653209643759567e+00
1.658291457286432133e-03 8.866578416013002339e+00
1.683417085427135621e-03 8.688718937676979337e+00
1.708542713567839325e-03 8.252952821849330434e+00
1.733668341708542813e-03 8.242874969489918158e+00
1.758793969849246300e-03 8.649224433909832754e+00
1.783919597989949788e-03 8.692686920211196266e+00
1.809045226130653276e-03 8.615771034428673758e+00
1.834170854271356763e-03 8.957391039799361465e+00
1.859296482412060251e-03 9.186911116960242651e+00
1.884422110552763955e-03 9.150894494505809718e+00
1.909547738693467443e-03 9.289998550514134479e+00
1.934673366834170931e-03 8.722352123446359684e+00
1.959798994974874201e-03 8.737011789850207322e+00
1.984924623115578123e-03 9.032515709479257637e+00
2.010050251256281610e-03 8.755849068084801345e+00
2.035175879396985098e-03 9.467129339211833639e+00
2.060301507537688585e-03 8.909191578380408316e+00
2.085427135678392073e-03 9.204637278888812446e+00
2.110552763819095561e-03 9.447526132215681827e+00
2.135678391959799048e-03 9.047452776208981362e+00
2.160804020100502536e-03 9.326090347517396850e+00
2.185929648241206023e-03 9.155091831491104060e+00
2.211055276381909511e-03 9.361696415585770481e+00
2.236180904522612999e-03 9.659436599444012117e+00
2.261306532663316486e-03 9.148980114416010778e+00
2.286432160804019974e-03 9.534816372380751304e+00
2.311557788944723461e-03 9.722035263357245327e+00
2.336683417085427383e-03 9.047105960851824946e+00
2.361809045226130870e-03 9.516152116368386871e+00
2.386934673366834358e-03 9.093863635879751328e+00
2.412060301507537845e-03 9.207407099223440028e+00
2.437185929648241333e-03 9.882835054343932057e+00
2.462311557788944821e-03 9.694381835694231953e+00
2.487437185929648308e-03 9.450974312436397184e+00
2.512562814070351796e-03 9.508880869077058762e+00
2.537688442211055283e-03 9.652430966756792685e+00
2.562814070351758771e-03 9.795343195888349896e+00
2.587939698492462259e-03 9.402408049724124695e+00
2.613065326633165746e-03 9.348803396513098107e+00
2.638190954773869234e-03 9.942438303211959649e+00
2.663316582914572721e-03 9.313434155067721321e+00
2.688442211055276643e-03 1.016731790693424742e+01
2.713567839195980130e-03 1.010283930724036061e+01
2.738693467336683618e-03 9.910315712427863133e+00
2.763819095477387106e-03 9.556244087637855600e+00
2.788944723618090593e-03 1.026435090385418292e+01
2.814070351758794081e-03 1.011420170919684125e+01
2.839195979899497568e-03 9.650610024778652374e+00
2.864321608040201056e-03 9.525031798605429145e+00
2.889447236180904544e-03 1.019159628599239298e+01
2.914572864321608031e-03 1.014893067154652151e+01
2.939698492462311519e-03 9.709601052585316694e+00
2.964824120603015006e-03 1.003985742181232510e+01
2.989949748743718494e-03 1.021924645881542837e+01
3.015075376884421982e-03 9.698117361692474958e+00
3.040201005025125903e-03 1.038340856926361333e+01
3.065326633165829390e-03 9.892169339785958471e+00
3.090452261306532878e-03 9.687768722876493044e+00
3.115577889447236366e-03 1.042722230457876620e+01
3.140703517587939853e-03 1.019157025956485363e+01
3.165829145728643341e-03 9.940985379468616046e+00
3.190954773869346828e-03 9.652701121894077474e+00
3.216080402010050316e-03 1.011462836570952639e+01
3.241206030150753804e-03 1.020989589122362062e+01
3.266331658291457291e-03 1.049639248935568148e+01
3.291457286432160779e-03 1.041181639839848572e+01
3.316582914572864266e-03 1.040402606980962652e+01
3.341708542713567754e-03 1.007099196910796834e+01
3.366834170854271242e-03 1.012882841128759104e+01
3.391959798994974729e-03 9.877040605963268050e+00
3.417085427135678651e-03 1.013317188396604962e+01
3.442211055276382138e-03 1.005459167369118845e+01
3.467336683417085626e-03 9.704853774480520556e+00
3.492462311557789113e-03 1.027189371334998036e+01
3.517587939698492601e-03 9.957907530549130470e+00
3.542713567839196089e-03 1.018847825241464200e+01
3.567839195979899576e-03 9.780286789566146055e+00
3.592964824120603064e-03 1.002334398763687773e+01
3.618090452261306551e-03 1.050077132016101800e+01
3.643216080402010039e-03 1.069759320860418939e+01
3.668341708542713527e-03 1.010246476958721118e+01
3.693467336683417014e-03 9.827118023909926947e+00
3.718592964824120502e-03 1.045391116864952608e+01
3.743718592964823989e-03 1.041697667867655497e+01
3.768844221105527911e-03 1.061656559702941927e+01
3.793969849246231398e-03 1.020940317207883297e+01
3.819095477386934886e-03 1.013463487035148347e+01
3.844221105527638373e-03 1.048029741088795674e+01
3.869346733668341861e-03 1.023567580642499308e+01
3.894472361809045349e-03 9.989329374370383263e+00
3.919597989949748403e-03 1.042718011071109707e+01
3.944723618090452757e-03 1.036741658306582714e+01
3.969849246231156245e-03 1.036828050252296762e+01
3.994974874371859733e-03 1.053706373389021245e+01
4.020100502512563220e-03 1.076334365158279738e+01
4.045226130653266708e-03 1.076327257531579562e+01
4.070351758793970195e-03 9.986628935161585119e+00
4.095477386934673683e-03 1.051401413550166808e+01
4.120603015075377171e-03 1.031701236141953615e+01
4.145728643216080658e-03 1.056595313283416715e+01
4.170854271356784146e-03 1.081576339679924814e+01
4.195979899497487633e-03 1.046988152627940494e+01
4.221105527638191121e-03 1.064686898311941654e+01
4.246231155778894609e-03 1.050633497711821818e+01
4.271356783919598096e-03 1.064159784384573726e+01
4.296482412060301584e-03 1.019290128136877982e+01
4.321608040201005072e-03 1.001081099278577646e+01
4.346733668341708559e-03 9.935003495766522974e+00
4.371859296482412047e-03 1.083075002006702370e+01
4.396984924623115534e-03 1.063784847069442741e+01
4.422110552763819022e-03 1.075688540180945552e+01
4.447236180904522510e-03 1.076162114182060137e+01
4.472361809045225997e-03 1.044984043589280098e+01
4.497487437185929485e-03 1.049048653478027227e+01
4.522613065326632972e-03 1.078356012592837132e+01
4.547738693467336460e-03 1.007392245747321446e+01
4.572864321608039948e-03 1.085995739712842045e+01
4.597989949748743435e-03 1.007055348946673945e+01
4.623115577889446923e-03 1.039196513240336373e+01
4.648241206030151278e-03 1.059812085596372633e+01
4.673366834170854765e-03 1.009538652429731975e+01
4.698492462311558253e-03 1.054252865058827915e+01
4.723618090452261740e-03 1.073302059178127443e+01
4.748743718592965228e-03 1.090224169072828531e+01
4.773869346733668716e-03 1.036003738895138504e+01
4.798994974874372203e-03 1.080629842727979018e+01
4.824120603015075691e-03 1.040170479075175791e+01
4.849246231155779178e-03 1.008347603030368944e+01
4.874371859296482666e-03 1.020843092524802920e+01
4.899497487437186154e-03 1.040668781680514599e+01
4.924623115577889641e-03 1.050859521964183685e+01
4.949748743718593129e-03 1.086020773501858550e+01
4.974874371859296616e-03 1.067049303554929196e+01
5.000000000000000104e-03 1.082218704565434209e+01
